"source"	"target"	"Annotation"	"Direction"	"Score"
"HLA-DPA1"	"TRAV19"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"TRAV29DV5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"TRAV8-4"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"TRBC1"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"TRBV12-3"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"TRBV7-9"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DPA1"	"ULBP3"	"predicted"	"-"	0.64
"HLA-DPA1"	"ZAP70"	"catalyze; complex; input"	"->"	1
"HLA-DPB1"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DQA1"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DQA2"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DQB1"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DQB2"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRA"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input; predicted"	"<->"	1
"HLA-DRA"	"JAK2"	"complex; input; reaction"	"-"	1
"HLA-DRA"	"MAP4K1"	"activate"	"->"	1
"HLA-DRA"	"POU2F2"	"expression regulated by"	"<-"	1
"HLA-DRB1"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRB1"	"JAK2"	"complex; input; reaction"	"-"	1
"HLA-DRB1"	"MAP4K1"	"activate"	"->"	1
"HLA-DRB3"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRB4"	"HLA-DRB5"	"catalyze; catalyzed by; input"	"<->"	1
"HLA-DRB5"	"KIF11"	"input"	"-"	1
"HLA-DRB5"	"KIF15"	"input"	"-"	1
"HLA-DRB5"	"KIF18A"	"input"	"-"	1
"HLA-DRB5"	"KIF22"	"input"	"-"	1
"HLA-DRB5"	"KIF23"	"input"	"-"	1
"HLA-DRB5"	"KIF26A"	"input"	"-"	1
"HLA-DRB5"	"KIF2A"	"input"	"-"	1
"HLA-DRB5"	"KIF2B"	"input"	"-"	1
"HLA-DRB5"	"KIF2C"	"input"	"-"	1
"HLA-DRB5"	"KIF3A"	"input"	"-"	1
"HLA-DRB5"	"KIF3B"	"input"	"-"	1
"HLA-DRB5"	"KIF3C"	"input"	"-"	1
"HLA-DRB5"	"KIF4A"	"input"	"-"	1
"HLA-DRB5"	"KIF4B"	"input"	"-"	1
"HLA-DRB5"	"KIF5A"	"input"	"-"	1
"HLA-DRB5"	"KIFAP3"	"input"	"-"	1
"HLA-DRB5"	"KLC1"	"input"	"-"	1
"HLA-DRB5"	"KLC2"	"input"	"-"	1
"HLA-DRB5"	"LAG3"	"complex; input"	"-"	1
"HLA-DRB5"	"LAT"	"catalyze"	"->"	1
"HLA-DRB5"	"LCK"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"LCP2"	"catalyze"	"->"	1
"HLA-DRB5"	"LGMN"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"MHC2TA"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"NFYA"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"NFYB"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"NFYC"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"OSBPL1A"	"input"	"-"	1
"HLA-DRB5"	"PAG1"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PDCD1"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PDCD1LG2"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PLCG1"	"catalyze"	"->"	1
"HLA-DRB5"	"PRKCQ"	"catalyze"	"->"	1
"HLA-DRB5"	"PTPN11"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PTPN22"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PTPN6"	"catalyzed by"	"<-"	1
"HLA-DRB5"	"PTPRC"	"catalyzed by; inhibited by"	"-"	1
"HLA-DRB5"	"PTPRJ"	"catalyzed by; inhibited by"	"-"	1
"HLA-DRB5"	"RAB7A"	"input"	"-"	1
"HLA-DRB5"	"RACGAP1"	"input"	"-"	1
"HLA-DRB5"	"RFX5"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"RFXANK"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"RFXAP"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"RILP"	"input"	"-"	1
"HLA-DRB5"	"SAR1B"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC13"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC23A"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC24A"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC24B"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC24C"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC24D"	"complex; input"	"-"	1
"HLA-DRB5"	"SEC31A"	"complex; input"	"-"	1
"HLA-DRB5"	"SH3GL2"	"complex; input"	"-"	1
"HLA-DRB5"	"SPTBN2"	"input"	"-"	1
"HLA-DRB5"	"STAT1"	"GErel: expression by"	"<-"	1
"HLA-DRB5"	"TRAC"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRAV19"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRAV29DV5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRAV8-4"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRBC1"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRBV12-3"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"TRBV7-9"	"catalyze; catalyzed by; complex; input"	"<->"	1
"HLA-DRB5"	"ZAP70"	"catalyze; complex; input"	"->"	1
"HLTF"	"SP3"	"predicted"	"-"	0.64
"HLX"	"JAK2"	"reaction"	"-"	1
"HMBOX1"	"VPS72"	"predicted"	"-"	0.64
"HMGA1"	"NUP205"	"complex; input"	"-"	1
"HMGA2"	"SP3"	"expression regulated by"	"<-"	1
"HMGB1"	"NFIC"	"expression regulated by"	"<-"	1
"HMGB1"	"RFX1"	"predicted"	"-"	0.64
"HMGB2"	"POU2F2"	"predicted"	"-"	0.97
"HMGN1"	"RPS6KA5"	"activated by"	"<-"	1
"HMGN3"	"RPS6KA5"	"predicted"	"-"	0.54
"HMMR"	"ODF2"	"complex; input"	"-"	1
"HMOX1"	"NFIC"	"expression regulated by"	"<-"	1
"HNF1A"	"PCBD1"	"predicted"	"-"	0.99
"HNF1A"	"SRC"	"predicted"	"-"	0.64
"HNF1B"	"PCBD1"	"predicted"	"-"	1
"HNF4A"	"NACC1"	"expression regulates"	"->"	1
"HNF4A"	"SERPINA1"	"expression regulates"	"->"	1
"HNF4A"	"SRC"	"expression regulates"	"->"	1
"HNF4A"	"TF"	"expression regulates"	"->"	1
"HNF4G"	"SRC"	"expression regulates"	"->"	1
"HNRNPA0"	"NCBP2"	"complex; input"	"-"	1
"HNRNPA0"	"SLU7"	"input"	"-"	1
"HNRNPA1"	"NCBP2"	"activated by; complex; inhibited by; input"	"-"	1
"HNRNPA1"	"NFIC"	"expression regulated by"	"<-"	1
"HNRNPA1"	"SLU7"	"input"	"-"	1
"HNRNPA2B1"	"NCBP2"	"complex; input"	"-"	1
"HNRNPA2B1"	"SLU7"	"input"	"-"	1
"HNRNPA3"	"NCBP2"	"complex; input"	"-"	1
"HNRNPA3"	"SLU7"	"input"	"-"	1
"HNRNPC"	"NCBP2"	"complex; input"	"-"	1
"HNRNPC"	"NUP205"	"catalyzed by"	"<-"	1
"HNRNPC"	"SLU7"	"input"	"-"	1
"HNRNPD"	"NCBP2"	"complex; input"	"-"	1
"HNRNPD"	"SLU7"	"input"	"-"	1
"HNRNPF"	"NCBP2"	"activated by; complex; inhibited by; input"	"-"	1
"HNRNPF"	"SLU7"	"input"	"-"	1
"HNRNPH1"	"NCBP2"	"activated by; complex; inhibited by; input"	"-"	1
"HNRNPH1"	"SLU7"	"input"	"-"	1
"HNRNPH2"	"NCBP2"	"complex; input"	"-"	1
"HNRNPH2"	"SLU7"	"input"	"-"	1
"HNRNPK"	"NCBP2"	"complex; input"	"-"	1
"HNRNPK"	"PHC3"	"catalyzed by"	"<-"	1
"HNRNPK"	"PTEN"	"predicted"	"-"	0.56
"HNRNPK"	"SLU7"	"input"	"-"	1
"HNRNPK"	"SRC"	"predicted"	"-"	0.64
"HNRNPK"	"VEZF1"	"predicted"	"-"	0.65
"HNRNPL"	"NCBP2"	"complex; input"	"-"	1
"HNRNPL"	"SLU7"	"input"	"-"	1
"HNRNPM"	"NCBP2"	"activated by; complex; inhibited by; input"	"-"	1
"HNRNPM"	"SLU7"	"input"	"-"	1
"HNRNPR"	"NCBP2"	"complex; input"	"-"	1
"HNRNPR"	"SLU7"	"input"	"-"	1
"HNRNPU"	"NCBP2"	"complex; input"	"-"	1
"HNRNPU"	"SLU7"	"input"	"-"	1
"HNRNPUL1"	"NCBP2"	"complex; input"	"-"	1
"HNRNPUL1"	"SLU7"	"input"	"-"	1
"HOXA1"	"TGFB1"	"predicted"	"-"	0.64
"HOXB7"	"SP3"	"expression regulated by"	"<-"	1
"HOXC4"	"POU2F2"	"predicted"	"-"	0.92
"HP"	"TBL1X"	"predicted"	"-"	0.64
"HPRT1"	"PRPS1"	"predicted"	"-"	0.92
"HRAS"	"JAK1"	"activated by; catalyzed by"	"<-"	1
"HRAS"	"JAK2"	"activated by; catalyzed by"	"<-"	1
"HRAS"	"KIT"	"PPrel: activated by; PPrel: activated, indirect effect; catalyzed by"	"<-"	1
"HRAS"	"NFIC"	"expression regulated by"	"<-"	1
"HRAS"	"PPP2CA"	"reaction"	"-"	1
"HRAS"	"SPTB"	"catalyzed by"	"<-"	1
"HRAS"	"SRC"	"PPrel: activated by; PPrel: activated, indirect effect; activated by; reaction"	"<-"	1
"HSD11B2"	"NFIC"	"expression regulated by"	"<-"	1
"HSD17B1"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"HSD17B1"	"SP3"	"expression regulated by"	"<-"	1
"HSD17B2"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"HSD17B7"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"HSD3B1"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"HSD3B2"	"PRKACB"	"GErel: expression, indirect effect"	"<-"	1
"HSF1"	"RPS19BP1"	"activated by"	"<-"	1
"HSF1"	"RPTOR"	"catalyzed by"	"<-"	1
"HSF2BP"	"VEZF1"	"predicted"	"-"	0.64
"HSP90AA1"	"JAK2"	"predicted"	"-"	0.64
"HSP90AA1"	"MZT2B"	"complex; input"	"-"	1
"HSP90AA1"	"ODF2"	"complex"	"-"	1
"HSP90AA1"	"PPIL2"	"predicted"	"-"	0.64
"HSP90AA1"	"PXN"	"complex; input"	"-"	1
"HSP90AA1"	"SRC"	"complex; input"	"-"	1
"HSP90AB1"	"JAK2"	"predicted"	"-"	0.64
"HSP90AB1"	"PTEN"	"predicted"	"-"	0.64
"HSP90AB1"	"SRC"	"activated by"	"<-"	1
"HSPA1B"	"JAK2"	"complex"	"-"	1
"HSPA1B"	"NFIC"	"expression regulated by"	"<-"	1
"HSPA1B"	"NUP205"	"catalyzed by"	"<-"	1
"HSPA1B"	"PTEN"	"predicted"	"-"	0.64
"HSPA1B"	"RPS19BP1"	"activated by"	"<-"	1
"HSPA2"	"TGFBRAP1"	"predicted"	"-"	0.99
"HSPA5"	"PTEN"	"predicted"	"-"	0.99
"HSPA8"	"NCBP2"	"complex; input"	"-"	1
"HSPA8"	"PTEN"	"predicted"	"-"	0.64
"HSPA8"	"RPS19BP1"	"activated by"	"<-"	1
"HSPA8"	"SLU7"	"input"	"-"	1
"HSPA8"	"TF"	"complex; input"	"-"	1
"HSPA8"	"TGFBRAP1"	"predicted"	"-"	0.66
"HSPA8"	"VPS37A"	"activated by"	"<-"	1
"HSPA9"	"NFU1"	"predicted"	"-"	0.99
"HSPD1"	"PTEN"	"predicted"	"-"	0.99
"HSPE1-MOB4"	"TGFBRAP1"	"predicted"	"-"	0.66
"HTR2A"	"JAK2"	"predicted"	"-"	0.64
"HTR6"	"RPTOR"	"predicted"	"-"	0.64
"HTT"	"TUBB3"	"catalyze; complex"	"->"	1
"HZGJ"	"TAF5"	"predicted"	"-"	0.98
"ICE1"	"NCBP2"	"complex; input"	"-"	1
"ICE1"	"POU2F2"	"catalyzed by; complex; input"	"<-"	1
"ICE1"	"TAF5"	"catalyzed by; complex; input"	"<-"	1
"ICE1"	"ZNF143"	"catalyzed by; complex; input"	"<-"	1
"ICE2"	"NCBP2"	"complex; input"	"-"	1
"ICE2"	"POU2F2"	"catalyzed by; complex; input"	"<-"	1
"ICE2"	"TAF5"	"catalyzed by; complex; input"	"<-"	1
"ICE2"	"ZNF143"	"catalyzed by; complex; input"	"<-"	1
"ID4"	"SRC"	"predicted"	"-"	0.64
"IER3"	"PPP2CA"	"predicted"	"-"	0.64
"IFIH1"	"NLRX1"	"reaction"	"-"	1
"IFIH1"	"SRC"	"predicted"	"-"	0.54
"IFIT1"	"UBE2L6"	"catalyzed by; input"	"<-"	1
"IFNA1"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA1"	"JAK2"	"PPrel: activation; complex; input"	"->"	1
"IFNA10"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA10"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA13"	"JAK1"	"PPrel: activation"	"->"	1
"IFNA13"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA14"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA14"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA16"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA16"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA17"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA17"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA2"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA2"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA21"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA21"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA4"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA4"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA5"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA5"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA6"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA6"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA7"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA7"	"JAK2"	"PPrel: activation"	"->"	1
"IFNA8"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNA8"	"JAK2"	"PPrel: activation"	"->"	1
"IFNAR1"	"JAK1"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNAR1"	"JAK2"	"PPrel: activation; PPrel: binding/association; catalyzed by; complex; input"	"<->"	1
"IFNAR2"	"JAK1"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNAR2"	"JAK2"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IFNB1"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNB1"	"JAK2"	"PPrel: activation; complex; input"	"->"	1
"IFNG"	"JAK1"	"PPrel: activation; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNG"	"JAK2"	"PPrel: activation; activated by; catalyze; catalyzed by; complex; inhibite; input; reaction"	"<-"	1
"IFNGR1"	"JAK1"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNGR1"	"JAK2"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNGR2"	"JAK1"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNGR2"	"JAK2"	"PPrel: activation; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"IFNL1"	"JAK1"	"complex; input"	"-"	1
"IFNL2"	"JAK1"	"complex; input"	"-"	1
"IFNL3"	"JAK1"	"complex; input"	"-"	1
"IFNLR1"	"JAK1"	"PPrel: binding/association; complex; input"	"-"	1
"IFNLR1"	"JAK2"	"PPrel: binding/association"	"-"	1
"IFT88"	"VPS37A"	"activated by"	"<-"	1
"IGBP1"	"PPP2CA"	"PPrel: activation; predicted"	"->"	1
"IGBP1"	"RPTOR"	"PPrel: activated by"	"<-"	1
"IGF1"	"KIT"	"PPrel: activation"	"->"	1
"IGF1"	"PXN"	"activate"	"->"	1
"IGF1"	"SRC"	"activated by"	"<-"	1
"IGF1R"	"JAK1"	"PPrel: activation"	"->"	1
"IGF1R"	"JAK2"	"PPrel: activation"	"->"	1
"IGF1R"	"PRKACB"	"ECrel: compound"	"-"	1
"IGF1R"	"PXN"	"activate"	"->"	1
"IGF1R"	"SRC"	"PPrel: activation; activated by"	"<->"	1
"IGF2"	"KIT"	"PPrel: activation"	"->"	1
"IGFBP1"	"SP3"	"expression regulated by"	"<-"	1
"IGFBP3"	"SP3"	"expression regulated by"	"<-"	1
"IGHG1"	"SRC"	"catalyzed by"	"<-"	1
"IGHG2"	"SRC"	"catalyzed by"	"<-"	1
"IGHG3"	"SRC"	"catalyzed by"	"<-"	1
"IGHG4"	"SRC"	"catalyzed by"	"<-"	1
"IGHV"	"SRC"	"catalyzed by"	"<-"	1
"IGHV1-2"	"SRC"	"catalyzed by"	"<-"	1
"IGHV1-46"	"SRC"	"catalyzed by"	"<-"	1
"IGHV1-69"	"SRC"	"catalyzed by"	"<-"	1
"IGHV2-5"	"SRC"	"catalyzed by"	"<-"	1
"IGHV2-70"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-11"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-13"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-23"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-30"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-33"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-48"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-53"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-7"	"SRC"	"catalyzed by"	"<-"	1
"IGHV3-9"	"SRC"	"catalyzed by"	"<-"	1
"IGHV4-34"	"SRC"	"catalyzed by"	"<-"	1
"IGHV4-39"	"SRC"	"catalyzed by"	"<-"	1
"IGHV4-59"	"SRC"	"catalyzed by"	"<-"	1
"IGHV7-81"	"SRC"	"catalyzed by"	"<-"	1
"IGKC"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-12"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-16"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-17"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-33"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-39"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1-5"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1D-12"	"SRC"	"catalyzed by"	"<-"	1
"IGKV1D-16"	"SRC"	"catalyzed by"	"<-"	1
"IGKV2-29"	"SRC"	"catalyzed by"	"<-"	1
"IGKV2-30"	"SRC"	"catalyzed by"	"<-"	1
"IGKV2D-28"	"SRC"	"catalyzed by"	"<-"	1
"IGKV2D-30"	"SRC"	"catalyzed by"	"<-"	1
"IGKV2D-40"	"SRC"	"catalyzed by"	"<-"	1
"IGKV3-11"	"SRC"	"catalyzed by"	"<-"	1
"IGKV3-15"	"SRC"	"catalyzed by"	"<-"	1
"IGKV3-20"	"SRC"	"catalyzed by"	"<-"	1
"IGKV3D-20"	"SRC"	"catalyzed by"	"<-"	1
"IGKV4-1"	"SRC"	"catalyzed by"	"<-"	1
"IGKV5-2"	"SRC"	"catalyzed by"	"<-"	1
"IGLC1"	"SRC"	"catalyzed by"	"<-"	1
"IGLC2"	"SRC"	"catalyzed by"	"<-"	1
"IGLC3"	"SRC"	"catalyzed by"	"<-"	1
"IGLC6"	"SRC"	"catalyzed by"	"<-"	1
"IGLC7"	"SRC"	"catalyzed by"	"<-"	1
"IGLV"	"SRC"	"catalyzed by"	"<-"	1
"IGLV1-40"	"SRC"	"catalyzed by"	"<-"	1
"IGLV1-44"	"SRC"	"catalyzed by"	"<-"	1
"IGLV1-47"	"SRC"	"catalyzed by"	"<-"	1
"IGLV1-51"	"SRC"	"catalyzed by"	"<-"	1
"IGLV2-11"	"SRC"	"catalyzed by"	"<-"	1
"IGLV2-14"	"SRC"	"catalyzed by"	"<-"	1
"IGLV2-23"	"SRC"	"catalyzed by"	"<-"	1
"IGLV2-8"	"SRC"	"catalyzed by"	"<-"	1
"IGLV3-1"	"SRC"	"catalyzed by"	"<-"	1
"IGLV3-19"	"SRC"	"catalyzed by"	"<-"	1
"IGLV3-21"	"SRC"	"catalyzed by"	"<-"	1
"IGLV3-25"	"SRC"	"catalyzed by"	"<-"	1
"IGLV3-27"	"SRC"	"catalyzed by"	"<-"	1
"IGLV6-57"	"SRC"	"catalyzed by"	"<-"	1
"IGLV7-43"	"SRC"	"catalyzed by"	"<-"	1
"IK"	"MAD1L1"	"predicted"	"-"	0.64
"IK"	"PPP2R5E"	"predicted"	"-"	0.58
"IKBKB"	"NLRX1"	"predicted"	"-"	0.64
"IKBKB"	"PTEN"	"PPrel: inhibition"	"-|"	1
"IKBKB"	"SRC"	"predicted"	"-"	0.64
"IKBKG"	"MAP2K4"	"catalyze"	"->"	1
"IKBKG"	"NLRX1"	"predicted"	"-"	0.54
"IKBKG"	"PPP2CA"	"predicted"	"-"	0.64
"IKBKG"	"SRC"	"predicted"	"-"	0.64
"IKZF1"	"MCRS1"	"predicted"	"-"	0.64
"IKZF3"	"JAK1"	"activated by"	"<-"	1
"IKZF3"	"MCRS1"	"predicted"	"-"	0.64
"IKZF4"	"MCRS1"	"predicted"	"-"	0.64
"IL10"	"JAK1"	"complex; input"	"-"	1
"IL10RA"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex"	"->"	1
"IL10RA"	"JAK2"	"PPrel: binding/association; complex; input"	"-"	1
"IL10RB"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL10RB"	"JAK2"	"PPrel: binding/association; complex"	"-"	1
"IL11"	"JAK1"	"complex; input"	"-"	1
"IL11"	"JAK2"	"complex; input"	"-"	1
"IL11RA"	"JAK1"	"PPrel: binding/association; complex; input"	"-"	1
"IL11RA"	"JAK2"	"PPrel: binding/association; complex; input"	"-"	1
"IL12A"	"JAK1"	"complex; input"	"-"	1
"IL12A"	"JAK2"	"complex; input; reaction"	"-"	1
"IL12B"	"JAK1"	"complex"	"-"	1
"IL12B"	"JAK2"	"activate; complex; inhibite; input; reaction"	"-"	1
"IL12B"	"SP3"	"expression regulated by"	"<-"	1
"IL12RB1"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex"	"->"	1
"IL12RB1"	"JAK2"	"PPrel: activation; PPrel: binding/association; activate; complex; input; reaction"	"->"	1
"IL12RB2"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL12RB2"	"JAK2"	"PPrel: activation; PPrel: binding/association; activate; complex; input; reaction"	"->"	1
"IL13"	"JAK1"	"complex; input"	"-"	1
"IL13"	"JAK2"	"complex; input"	"-"	1
"IL13RA1"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL13RA1"	"JAK2"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL13RA2"	"JAK1"	"PPrel: binding/association"	"-"	1
"IL13RA2"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL15"	"JAK1"	"complex; input"	"-"	1
"IL15RA"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL15RA"	"JAK2"	"PPrel: activation; PPrel: binding/association"	"->"	1
"IL17D"	"JAK1"	"PPrel: activation"	"->"	1
"IL17D"	"JAK2"	"PPrel: activation"	"->"	1
"IL18"	"JAK2"	"reaction"	"-"	1
"IL18R1"	"JAK2"	"reaction"	"-"	1
"IL18RAP"	"JAK2"	"reaction"	"-"	1
"IL19"	"JAK1"	"complex; input"	"-"	1
"IL1B"	"JAK2"	"activate"	"->"	1
"IL1RAP"	"KIT"	"activate"	"->"	1
"IL1RAP"	"SRC"	"activate"	"->"	1
"IL1RL1"	"KIT"	"activate"	"->"	1
"IL1RL1"	"SRC"	"activate"	"->"	1
"IL1RL1"	"TMED1"	"predicted"	"-"	0.64
"IL2"	"JAK1"	"PPrel: activation; complex; inhibited by; input"	"|->"	1
"IL2"	"JAK2"	"PPrel: activation; complex; input; reaction"	"->"	1
"IL2"	"POU2F2"	"expression regulated by"	"<-"	1
"IL2"	"TGFB1"	"activate; inhibited by"	"|->"	1
"IL20"	"JAK1"	"complex; input"	"-"	1
"IL20RA"	"JAK1"	"PPrel: binding/association; complex; input"	"-"	1
"IL20RA"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL20RB"	"JAK1"	"PPrel: binding/association; complex; input"	"-"	1
"IL20RB"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL21"	"JAK1"	"PPrel: activation; complex; input"	"->"	1
"IL21R"	"JAK1"	"PPrel: binding/association; complex"	"-"	1
"IL21R"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL22"	"JAK1"	"complex; inhibite; input"	"-|"	1
"IL22"	"JAK2"	"complex; input"	"-"	1
"IL22RA1"	"JAK1"	"PPrel: binding/association; complex; input"	"-"	1
"IL22RA1"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL22RA2"	"JAK1"	"PPrel: binding/association; inhibite"	"-|"	1
"IL22RA2"	"JAK2"	"PPrel: binding/association"	"-"	1
"IL23A"	"JAK2"	"PPrel: activation; complex; input"	"->"	1
"IL23R"	"JAK1"	"PPrel: activation; PPrel: binding/association"	"->"	1
"IL23R"	"JAK2"	"PPrel: activation; PPrel: binding/association; complex; input"	"->"	1
"IL24"	"JAK1"	"complex; input"	"-"	1
"IL24"	"PTEN"	"predicted"	"-"	0.64
"IL26"	"JAK1"	"complex; input"	"-"	1
"IL27"	"JAK1"	"complex; inhibite; input"	"-|"	1
"IL27"	"JAK2"	"complex; inhibite; input; reaction"	"-|"	1
"IL27RA"	"JAK1"	"PPrel: binding/association; complex; inhibite; input"	"-|"	1
"IL27RA"	"JAK2"	"PPrel: binding/association; complex; inhibite; input; reaction"	"-|"	1
"IL2RA"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; inhibited by; input"	"|->"	1
"IL2RA"	"JAK2"	"PPrel: activation; PPrel: binding/association; complex; reaction"	"->"	1
"IL2RB"	"JAK1"	"PPrel: activation; PPrel: binding/association; complex; input; reaction"	"->"	1
"IL2RB"	"JAK2"	"PPrel: activation; PPrel: binding/association; complex; input; reaction"	"->"	1
